location due to GPS and WiFi+Cell,2025-03-06_19-02-36.207_TGW
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
802486052,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276959601,802485772912142
802486355,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276959619,802486297173444
802496354,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276959619,802496293992503
802506354,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276959619,802506292312968
802508159,network,55.69938585333605,37.36081871723373,1,1.4780054,0,0.0,0,0.0,0,0.0,1741276981979,802508150894426
802516402,gps,55.69938585333605,37.36081871723373,1,1.4780054,1,0.0,1,0.0,1,0.0,1741276981991,802516323856714
802526402,gps,55.69938585333605,37.36081871723373,1,1.4780054,1,0.0,1,0.0,1,0.0,1741276981991,802526329543481
802527932,network,55.699386894380204,37.360811936073986,1,1.7103001,0,0.0,0,0.0,0,0.0,1741277001751,802527923114210
802536408,gps,55.699386894380204,37.360811936073986,1,1.7103001,1,0.0,1,0.0,1,0.0,1741277001766,802536337136394
802546403,gps,55.699386894380204,37.360811936073986,1,1.7103001,1,0.0,1,0.0,1,0.0,1741277001766,802546334187692
802548083,network,55.69938733649525,37.360813568274516,1,1.6422718,0,0.0,0,0.0,0,0.0,1741277021893,802548065649671
802556400,gps,55.69938733649525,37.360813568274516,1,1.6422718,1,0.0,1,0.0,1,0.0,1741277021915,802556322495293
802566417,gps,55.69938733649525,37.360813568274516,1,1.6422718,1,0.0,1,0.0,1,0.0,1741277021915,802566337368101
802568059,network,55.69938629390665,37.36081304776526,1,1.6491287,0,0.0,0,0.0,0,0.0,1741277041879,802568051250028
802576408,gps,55.69938629390665,37.36081304776526,1,1.6491287,1,0.0,1,0.0,1,0.0,1741277041893,802576338002525
802586412,gps,55.69938629390665,37.36081304776526,1,1.6491287,1,0.0,1,0.0,1,0.0,1741277041893,802586344071219
802587996,network,55.69938629037711,37.360808914620165,1,1.7665241,0,0.0,0,0.0,0,0.0,1741277061816,802587988527937
802596432,gps,55.69938629037711,37.360808914620165,1,1.7665241,1,0.0,1,0.0,1,0.0,1741277061831,802596355110486
802606424,gps,55.69938629037711,37.360808914620165,1,1.7665241,1,0.0,1,0.0,1,0.0,1741277061831,802606356046784
802608224,network,55.69938640968597,37.3608075368316,1,1.8793036,0,0.0,0,0.0,0,0.0,1741277082044,802608216537356
802616430,gps,55.69938640968597,37.3608075368316,1,1.8793036,1,0.0,1,0.0,1,0.0,1741277082059,802616352435895
802626426,gps,55.69938640968597,37.3608075368316,1,1.8793036,1,0.0,1,0.0,1,0.0,1741277082059,802626362855891
802628282,network,55.69938640968597,37.3608075368316,1,1.8793036,0,0.0,0,0.0,0,0.0,1741277102097,802628269395317
802636447,gps,55.69938640968597,37.3608075368316,1,1.8793036,1,0.0,1,0.0,1,0.0,1741277102117,802636373446095
802646464,gps,55.69938640968597,37.3608075368316,1,1.8793036,1,0.0,1,0.0,1,0.0,1741277102117,802646379858800
802648355,network,55.69938524757651,37.36081701136506,1,1.5601693,0,0.0,0,0.0,0,0.0,1741277122174,802648345838122
802656462,gps,55.69938524757651,37.36081701136506,1,1.5601693,1,0.0,1,0.0,1,0.0,1741277122187,802656381645150
802666486,gps,55.69938524757651,37.36081701136506,1,1.5601693,1,0.0,1,0.0,1,0.0,1741277122187,802666387639001
802668113,network,55.69938595185884,37.36082042216922,1,1.6045545,0,0.0,0,0.0,0,0.0,1741277141933,802668105351292
