location due to GPS and WiFi+Cell,2025-03-06_18-50-19.416_TGW
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
801749252,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276222871,801749043639715
801749620,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276222880,801749549154975
801759650,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276222880,801759568932836
801769098,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276242900,801769072421114
801769634,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276242917,801769567060020
801779633,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276242917,801779558501839
801789137,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276262932,801789104538502
801789652,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276262955,801789572972096
801799665,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276262955,801799583696727
801809177,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276282971,801809143453755
801809666,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276282996,801809584051515
801819666,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276282996,801819588586876
801829188,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276302990,801829162499685
801829666,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276303006,801829583369893
801839675,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276303006,801839593191451
801849226,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276323020,801849192644781
801849680,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276323047,801849596518062
801859678,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276323047,801859600570090
801869262,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276343056,801869228047065
801869673,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276343079,801869603790711
801879679,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276343079,801879601166176
801889301,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276363099,801889270923255
801889683,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276363124,801889602982162
801899687,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276363124,801899619551168
801909313,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276383105,801909277217362
801909701,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276383130,801909615599966
801919708,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276383130,801919627749858
801929340,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276403142,801929314272146
801929705,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276403164,801929629810323
801939712,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276403164,801939638529642
801949381,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276423178,801949350298024
801949713,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276423203,801949637930941
801959709,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276423203,801959639847239
801969419,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276443215,801969386979996
801969713,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276443237,801969644898902
801979729,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276443237,801979659937908
801989453,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276463252,801989424626238
801989721,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276463273,801989648970405
801999736,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276463273,801999667810870
802009491,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276483286,802009458074720
802009733,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276483313,802009665245918
802019739,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276483313,802019676426487
802029525,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276503316,802029487874816
802029733,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276503343,802029666731796
802039737,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276503343,802039673410281
802049544,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276523350,802049521854861
802049733,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276523365,802049664329184
802059767,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276523365,802059697140690
802069562,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276543365,802069537694905
802069730,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276543384,802069662280634
802079763,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276543384,802079697851099
802089575,network,55.699386589878706,37.36081879558107,1,1.7948984,0,0.0,0,0.0,0,0.0,1741276563375,802089546841148
802089758,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276563394,802089691353908
802099760,gps,55.699386589878706,37.36081879558107,1,1.7948984,1,0.0,1,0.0,1,0.0,1741276563394,802099696930519
